a,b,c,d,e,f,g,br
-0.054714009,-0.059057648,0.083584745,0.916415255,-0.092759982,0.022698122,-0.092759982,0
-3.850721515,10.21717446,-0.852904192,1.852904192,0.22374367,0.200139908,0.22374367,0
-1.556543195,0.069414133,0.54255694,0.45744306,0.012686189,0.020554299,0.012686189,0
0.422206011,0.162688611,0.742645676,0.257354324,0.101534685,0.120142957,0.101534685,0
-0.642782808,0.011805339,0.005811609,0.994188391,-0.095080133,0.097808695,-0.095080133,0
-15.90437806,-0.159538412,-0.218693775,1.218693775,-0.444116365,-0.014026727,-0.444116365,0
-3.459698276,-1.148275862,0.871390086,0.128609914,-1.11487069,-0.803340517,-1.11487069,0
0.46391812,-0.048221485,0.44803895,0.55196105,-0.056434186,0.069718066,-0.056434186,0
0.587296084,0.201916328,0.690148587,0.309851413,0.084602569,0.255160807,0.084602569,0
-0.018395983,0.00054591,0.951482957,0.048517043,-0.001331782,0.092408845,-0.001331782,0
-0.47161456,-0.055265256,-0.059250731,1.059250731,-0.025684173,0.038791958,-0.025684173,0
